data medium1.csv,algoritma ant colony
no percobaan,solusi awal,solusi ahir,rute terbaik,waktu
1,811,809.0,12 -> 13 -> 14 -> 10 -> 4 -> 6 -> 8 -> 7 -> 3 -> 19 -> 15 -> 2 -> 9 -> 5 -> 11 -> 18 -> 1 -> 17 -> 20 -> 16 -> 12,151
2,811,797.0,8 -> 7 -> 3 -> 19 -> 15 -> 2 -> 9 -> 5 -> 11 -> 1 -> 18 -> 17 -> 20 -> 16 -> 10 -> 14 -> 13 -> 12 -> 4 -> 6 -> 8,156
3,819,803.0,8 -> 7 -> 3 -> 19 -> 15 -> 2 -> 9 -> 5 -> 11 -> 20 -> 17 -> 1 -> 18 -> 16 -> 13 -> 12 -> 14 -> 10 -> 4 -> 6 -> 8,151
4,817,806.0,3 -> 19 -> 15 -> 9 -> 2 -> 5 -> 11 -> 1 -> 18 -> 17 -> 20 -> 16 -> 13 -> 12 -> 14 -> 10 -> 4 -> 6 -> 8 -> 7 -> 3,151
5,811,809.0,13 -> 12 -> 14 -> 10 -> 4 -> 6 -> 8 -> 7 -> 3 -> 19 -> 15 -> 2 -> 9 -> 11 -> 5 -> 20 -> 17 -> 1 -> 18 -> 16 -> 13,154
Rata-rata :,804.8,Solusi Terbaik :,797.0,Solusi Terburuk :,809.0
