data medium2.csv,algoritma ant colony
no percobaan,solusi awal,solusi ahir,rute terbaik,waktu
1,854,854.0,7 -> 13 -> 18 -> 3 -> 1 -> 10 -> 19 -> 16 -> 8 -> 11 -> 17 -> 9 -> 5 -> 4 -> 6 -> 15 -> 14 -> 20 -> 12 -> 2 -> 7,153
2,870,854.0,12 -> 2 -> 7 -> 13 -> 18 -> 3 -> 1 -> 10 -> 19 -> 16 -> 8 -> 11 -> 17 -> 9 -> 5 -> 4 -> 6 -> 15 -> 14 -> 20 -> 12,154
3,854,854.0,2 -> 7 -> 13 -> 18 -> 3 -> 1 -> 10 -> 19 -> 16 -> 8 -> 11 -> 17 -> 9 -> 5 -> 4 -> 6 -> 15 -> 14 -> 20 -> 12 -> 2,151
4,863,854.0,12 -> 2 -> 7 -> 13 -> 18 -> 3 -> 1 -> 10 -> 19 -> 16 -> 8 -> 11 -> 17 -> 9 -> 5 -> 4 -> 6 -> 15 -> 14 -> 20 -> 12,156
5,854,850.0,2 -> 7 -> 13 -> 18 -> 3 -> 1 -> 10 -> 19 -> 16 -> 8 -> 11 -> 17 -> 9 -> 4 -> 6 -> 15 -> 14 -> 5 -> 20 -> 12 -> 2,155
Rata-rata :,853.2,Solusi Terbaik :,850.0,Solusi Terburuk :,854.0
