data big1.csv,algoritma ant colony
no percobaan,solusi awal,solusi ahir,rute terbaik,waktu
1,1702,1702.0,20 -> 14 -> 65 -> 91 -> 52 -> 27 -> 12 -> 61 -> 15 -> 85 -> 8 -> 29 -> 47 -> 80 -> 41 -> 82 -> 2 -> 94 -> 16 -> 11 -> 55 -> 46 -> 4 -> 36 -> 53 -> 76 -> 32 -> 28 -> 35 -> 44 -> 74 -> 10 -> 72 -> 69 -> 1 -> 62 -> 86 -> 48 -> 79 -> 45 -> 19 -> 93 -> 56 -> 50 -> 23 -> 30 -> 84 -> 81 -> 43 -> 87 -> 63 -> 17 -> 7 -> 88 -> 42 -> 22 -> 13 -> 26 -> 98 -> 96 -> 58 -> 9 -> 97 -> 89 -> 90 -> 49 -> 78 -> 21 -> 24 -> 34 -> 31 -> 66 -> 51 -> 57 -> 6 -> 67 -> 60 -> 5 -> 99 -> 68 -> 92 -> 59 -> 73 -> 25 -> 18 -> 40 -> 75 -> 39 -> 33 -> 38 -> 3 -> 100 -> 77 -> 37 -> 95 -> 70 -> 54 -> 64 -> 83 -> 71 -> 20,594
2,1914,1831.0,88 -> 7 -> 17 -> 63 -> 81 -> 84 -> 30 -> 43 -> 87 -> 1 -> 69 -> 72 -> 10 -> 32 -> 28 -> 35 -> 76 -> 53 -> 36 -> 4 -> 46 -> 55 -> 11 -> 16 -> 94 -> 2 -> 82 -> 41 -> 80 -> 8 -> 47 -> 29 -> 24 -> 21 -> 78 -> 34 -> 97 -> 89 -> 90 -> 49 -> 98 -> 96 -> 58 -> 9 -> 31 -> 66 -> 57 -> 51 -> 67 -> 60 -> 6 -> 5 -> 99 -> 68 -> 92 -> 59 -> 73 -> 25 -> 39 -> 75 -> 33 -> 40 -> 18 -> 54 -> 64 -> 70 -> 95 -> 37 -> 77 -> 100 -> 3 -> 38 -> 74 -> 44 -> 23 -> 50 -> 56 -> 93 -> 19 -> 79 -> 45 -> 48 -> 62 -> 86 -> 83 -> 85 -> 27 -> 61 -> 12 -> 15 -> 52 -> 65 -> 14 -> 20 -> 71 -> 91 -> 13 -> 22 -> 42 -> 26 -> 88,653
3,1822,1822.0,61 -> 15 -> 85 -> 27 -> 12 -> 65 -> 14 -> 20 -> 71 -> 43 -> 87 -> 63 -> 81 -> 84 -> 30 -> 62 -> 86 -> 48 -> 79 -> 45 -> 19 -> 93 -> 56 -> 50 -> 23 -> 44 -> 74 -> 10 -> 32 -> 35 -> 28 -> 76 -> 53 -> 36 -> 4 -> 46 -> 55 -> 16 -> 94 -> 2 -> 82 -> 41 -> 80 -> 8 -> 47 -> 29 -> 24 -> 21 -> 78 -> 34 -> 31 -> 66 -> 68 -> 92 -> 99 -> 57 -> 51 -> 6 -> 67 -> 60 -> 5 -> 59 -> 73 -> 25 -> 18 -> 40 -> 75 -> 39 -> 33 -> 38 -> 3 -> 77 -> 100 -> 37 -> 95 -> 70 -> 54 -> 64 -> 11 -> 83 -> 90 -> 49 -> 89 -> 97 -> 96 -> 9 -> 58 -> 98 -> 13 -> 22 -> 26 -> 42 -> 91 -> 52 -> 7 -> 88 -> 17 -> 1 -> 69 -> 72 -> 61,637
4,1823,1823.0,28 -> 32 -> 35 -> 76 -> 53 -> 36 -> 4 -> 64 -> 54 -> 70 -> 95 -> 37 -> 77 -> 100 -> 3 -> 38 -> 33 -> 75 -> 39 -> 40 -> 55 -> 46 -> 41 -> 80 -> 82 -> 2 -> 94 -> 16 -> 11 -> 83 -> 15 -> 85 -> 12 -> 27 -> 61 -> 52 -> 65 -> 14 -> 20 -> 71 -> 1 -> 69 -> 72 -> 10 -> 74 -> 44 -> 23 -> 56 -> 93 -> 19 -> 50 -> 79 -> 45 -> 48 -> 62 -> 86 -> 30 -> 84 -> 81 -> 43 -> 87 -> 63 -> 17 -> 7 -> 88 -> 91 -> 13 -> 22 -> 42 -> 26 -> 89 -> 97 -> 90 -> 49 -> 98 -> 96 -> 9 -> 58 -> 34 -> 78 -> 21 -> 24 -> 29 -> 8 -> 47 -> 92 -> 68 -> 66 -> 31 -> 57 -> 51 -> 67 -> 60 -> 6 -> 5 -> 99 -> 59 -> 73 -> 25 -> 18 -> 28,505
5,1798,1764.0,36 -> 4 -> 46 -> 55 -> 11 -> 94 -> 16 -> 2 -> 82 -> 41 -> 80 -> 8 -> 47 -> 29 -> 85 -> 15 -> 61 -> 27 -> 12 -> 65 -> 14 -> 20 -> 71 -> 43 -> 81 -> 84 -> 30 -> 62 -> 86 -> 1 -> 69 -> 72 -> 10 -> 32 -> 28 -> 35 -> 76 -> 53 -> 70 -> 54 -> 64 -> 37 -> 77 -> 100 -> 95 -> 3 -> 38 -> 33 -> 75 -> 39 -> 40 -> 18 -> 25 -> 73 -> 59 -> 99 -> 6 -> 67 -> 60 -> 5 -> 57 -> 51 -> 66 -> 31 -> 34 -> 78 -> 21 -> 24 -> 89 -> 97 -> 90 -> 49 -> 98 -> 96 -> 58 -> 9 -> 68 -> 92 -> 52 -> 91 -> 13 -> 22 -> 26 -> 42 -> 88 -> 7 -> 17 -> 63 -> 87 -> 45 -> 79 -> 48 -> 19 -> 93 -> 56 -> 50 -> 23 -> 44 -> 74 -> 83 -> 36,666
Rata-rata :,1788.4,Solusi Terbaik :,1702.0,Solusi Terburuk :,1831.0
