data big2.csv,algoritma ant colony
no percobaan,solusi awal,solusi ahir,rute terbaik,waktu
1,1692,1692.0,91 -> 67 -> 20 -> 40 -> 15 -> 94 -> 21 -> 89 -> 10 -> 93 -> 78 -> 99 -> 92 -> 72 -> 54 -> 9 -> 59 -> 4 -> 80 -> 13 -> 41 -> 62 -> 36 -> 28 -> 29 -> 46 -> 1 -> 87 -> 84 -> 7 -> 96 -> 12 -> 69 -> 90 -> 17 -> 26 -> 49 -> 97 -> 63 -> 19 -> 53 -> 32 -> 73 -> 16 -> 11 -> 66 -> 68 -> 61 -> 23 -> 65 -> 39 -> 35 -> 48 -> 30 -> 74 -> 88 -> 42 -> 18 -> 6 -> 3 -> 47 -> 14 -> 81 -> 76 -> 34 -> 37 -> 95 -> 75 -> 55 -> 51 -> 85 -> 60 -> 79 -> 57 -> 8 -> 64 -> 24 -> 100 -> 71 -> 22 -> 44 -> 52 -> 77 -> 56 -> 50 -> 31 -> 70 -> 33 -> 58 -> 83 -> 27 -> 25 -> 2 -> 86 -> 45 -> 98 -> 43 -> 82 -> 38 -> 91,101
2,1820,1820.0,11 -> 16 -> 53 -> 32 -> 73 -> 66 -> 68 -> 65 -> 23 -> 61 -> 14 -> 47 -> 3 -> 6 -> 18 -> 30 -> 48 -> 74 -> 88 -> 42 -> 39 -> 35 -> 82 -> 38 -> 5 -> 81 -> 76 -> 34 -> 95 -> 37 -> 8 -> 75 -> 55 -> 51 -> 85 -> 79 -> 60 -> 57 -> 71 -> 100 -> 64 -> 24 -> 83 -> 58 -> 50 -> 31 -> 70 -> 33 -> 54 -> 72 -> 92 -> 99 -> 9 -> 59 -> 78 -> 13 -> 80 -> 4 -> 93 -> 89 -> 10 -> 21 -> 15 -> 40 -> 94 -> 20 -> 67 -> 91 -> 41 -> 62 -> 36 -> 29 -> 46 -> 28 -> 1 -> 87 -> 84 -> 7 -> 96 -> 12 -> 69 -> 26 -> 17 -> 90 -> 97 -> 49 -> 63 -> 19 -> 45 -> 98 -> 43 -> 86 -> 2 -> 27 -> 25 -> 22 -> 77 -> 56 -> 44 -> 11,75
3,2028,1693.0,44 -> 52 -> 56 -> 77 -> 50 -> 31 -> 70 -> 33 -> 99 -> 92 -> 72 -> 54 -> 9 -> 59 -> 78 -> 13 -> 80 -> 4 -> 93 -> 89 -> 10 -> 58 -> 83 -> 71 -> 100 -> 24 -> 64 -> 95 -> 75 -> 55 -> 34 -> 8 -> 57 -> 79 -> 60 -> 85 -> 51 -> 81 -> 76 -> 5 -> 38 -> 27 -> 25 -> 2 -> 86 -> 45 -> 98 -> 43 -> 94 -> 40 -> 15 -> 21 -> 20 -> 67 -> 91 -> 41 -> 62 -> 36 -> 29 -> 46 -> 28 -> 69 -> 1 -> 12 -> 96 -> 87 -> 7 -> 84 -> 90 -> 26 -> 17 -> 49 -> 97 -> 63 -> 19 -> 53 -> 32 -> 16 -> 11 -> 73 -> 66 -> 68 -> 65 -> 23 -> 61 -> 39 -> 30 -> 48 -> 74 -> 88 -> 42 -> 35 -> 14 -> 47 -> 3 -> 6 -> 18 -> 82 -> 22 -> 44,55
4,2161,1792.0,98 -> 43 -> 45 -> 61 -> 68 -> 66 -> 53 -> 32 -> 73 -> 16 -> 11 -> 23 -> 65 -> 39 -> 30 -> 48 -> 74 -> 42 -> 88 -> 35 -> 6 -> 14 -> 47 -> 3 -> 18 -> 81 -> 76 -> 5 -> 38 -> 27 -> 25 -> 2 -> 86 -> 82 -> 24 -> 64 -> 71 -> 100 -> 8 -> 95 -> 75 -> 55 -> 34 -> 51 -> 85 -> 60 -> 79 -> 57 -> 44 -> 52 -> 56 -> 77 -> 22 -> 83 -> 58 -> 50 -> 31 -> 70 -> 33 -> 92 -> 99 -> 72 -> 54 -> 59 -> 9 -> 78 -> 13 -> 80 -> 4 -> 93 -> 89 -> 10 -> 21 -> 15 -> 94 -> 40 -> 20 -> 67 -> 91 -> 41 -> 62 -> 36 -> 29 -> 46 -> 1 -> 84 -> 7 -> 87 -> 12 -> 96 -> 90 -> 17 -> 26 -> 49 -> 97 -> 63 -> 19 -> 69 -> 28 -> 98,45
5,1932,1866.0,36 -> 62 -> 91 -> 67 -> 40 -> 15 -> 94 -> 20 -> 43 -> 98 -> 45 -> 25 -> 27 -> 2 -> 86 -> 38 -> 5 -> 76 -> 81 -> 47 -> 3 -> 6 -> 18 -> 74 -> 30 -> 48 -> 88 -> 42 -> 39 -> 23 -> 61 -> 11 -> 16 -> 66 -> 68 -> 65 -> 35 -> 14 -> 82 -> 73 -> 53 -> 32 -> 26 -> 17 -> 90 -> 84 -> 87 -> 7 -> 96 -> 12 -> 1 -> 29 -> 46 -> 28 -> 69 -> 49 -> 97 -> 63 -> 19 -> 34 -> 95 -> 75 -> 55 -> 51 -> 85 -> 60 -> 79 -> 57 -> 8 -> 64 -> 24 -> 100 -> 71 -> 22 -> 44 -> 52 -> 77 -> 56 -> 70 -> 33 -> 31 -> 50 -> 58 -> 83 -> 10 -> 89 -> 93 -> 78 -> 13 -> 80 -> 4 -> 9 -> 59 -> 92 -> 99 -> 72 -> 54 -> 21 -> 41 -> 36,57
Rata-rata :,1772.6,Solusi Terbaik :,1692.0,Solusi Terburuk :,1866.0
