data small1.csv,algoritma ant colony,,,,
no percobaan,solusi awal,solusi ahir,rute terbaik,waktu,
1,446,446,3 -> 5 -> 4 -> 2 -> 1 -> 3,101,
2,446,446,5 -> 3 -> 1 -> 2 -> 4 -> 5,101,
3,446,446,2 -> 1 -> 3 -> 5 -> 4 -> 2,101,
4,446,446,5 -> 4 -> 2 -> 1 -> 3 -> 5,101,
5,446,446,1 -> 2 -> 4 -> 5 -> 3 -> 1,101,
Rata-rata :,446,Solusi Terbaik :,446,Solusi Terburuk :,446
