data medium1.csv,algoritma genetik
no percobaan,solusi awal,solusi ahir,rute terbaik,waktu
1,1480,803.0,20 -> 16 -> 14 -> 10 -> 13 -> 12 -> 4 -> 6 -> 8 -> 7 -> 9 -> 2 -> 15 -> 19 -> 3 -> 5 -> 11 -> 18 -> 1 -> 17 -> 20 ,152
2,1489,825.0,6 -> 8 -> 7 -> 16 -> 1 -> 17 -> 20 -> 3 -> 19 -> 15 -> 9 -> 2 -> 5 -> 11 -> 18 -> 14 -> 10 -> 12 -> 13 -> 4 -> 6 ,136
3,1529,785.0,5 -> 11 -> 17 -> 1 -> 18 -> 14 -> 10 -> 13 -> 12 -> 4 -> 6 -> 8 -> 7 -> 9 -> 2 -> 15 -> 19 -> 3 -> 16 -> 20 -> 5 ,139
4,1410,805.0,12 -> 13 -> 10 -> 14 -> 18 -> 1 -> 17 -> 11 -> 5 -> 2 -> 9 -> 15 -> 19 -> 3 -> 20 -> 16 -> 7 -> 8 -> 6 -> 4 -> 12 ,123
5,1345,805.0,17 -> 1 -> 18 -> 14 -> 10 -> 13 -> 12 -> 4 -> 6 -> 8 -> 7 -> 16 -> 20 -> 3 -> 19 -> 15 -> 9 -> 2 -> 5 -> 11 -> 17 ,124
Rata-rata :,804.6,Solusi Terbaik :,785.0,Solusi Terburuk :,825.0
