data big1.csv,algoritma genetik
no percobaan,solusi awal,solusi ahir,rute terbaik,waktu
1,8799,3486.0,26 -> 91 -> 65 -> 72 -> 46 -> 85 -> 21 -> 97 -> 49 -> 31 -> 66 -> 51 -> 57 -> 67 -> 60 -> 2 -> 36 -> 35 -> 28 -> 62 -> 30 -> 86 -> 44 -> 23 -> 4 -> 70 -> 37 -> 100 -> 77 -> 38 -> 3 -> 95 -> 94 -> 16 -> 18 -> 39 -> 25 -> 59 -> 5 -> 6 -> 47 -> 8 -> 61 -> 12 -> 69 -> 74 -> 32 -> 11 -> 41 -> 80 -> 13 -> 22 -> 89 -> 78 -> 34 -> 9 -> 58 -> 96 -> 52 -> 27 -> 83 -> 55 -> 53 -> 64 -> 40 -> 73 -> 99 -> 68 -> 92 -> 15 -> 43 -> 63 -> 17 -> 56 -> 50 -> 93 -> 19 -> 45 -> 84 -> 81 -> 1 -> 76 -> 54 -> 33 -> 75 -> 82 -> 10 -> 48 -> 79 -> 29 -> 24 -> 90 -> 98 -> 42 -> 7 -> 88 -> 87 -> 71 -> 20 -> 14 -> 26 ,583
2,8979,3231.0,87 -> 63 -> 70 -> 95 -> 37 -> 54 -> 64 -> 18 -> 73 -> 34 -> 9 -> 22 -> 26 -> 58 -> 96 -> 90 -> 21 -> 15 -> 72 -> 28 -> 35 -> 32 -> 74 -> 23 -> 50 -> 56 -> 86 -> 30 -> 84 -> 81 -> 43 -> 69 -> 12 -> 14 -> 91 -> 52 -> 24 -> 29 -> 92 -> 25 -> 3 -> 38 -> 16 -> 80 -> 47 -> 59 -> 99 -> 57 -> 51 -> 66 -> 6 -> 5 -> 60 -> 67 -> 68 -> 31 -> 78 -> 98 -> 13 -> 42 -> 61 -> 8 -> 41 -> 82 -> 2 -> 85 -> 27 -> 71 -> 17 -> 7 -> 88 -> 20 -> 79 -> 45 -> 93 -> 19 -> 48 -> 62 -> 65 -> 49 -> 97 -> 89 -> 1 -> 10 -> 44 -> 76 -> 100 -> 77 -> 53 -> 46 -> 11 -> 55 -> 4 -> 36 -> 33 -> 75 -> 39 -> 40 -> 94 -> 83 -> 87 ,503
3,9210,3421.0,5 -> 92 -> 11 -> 21 -> 65 -> 52 -> 90 -> 58 -> 60 -> 67 -> 68 -> 31 -> 27 -> 15 -> 12 -> 71 -> 81 -> 23 -> 77 -> 38 -> 33 -> 75 -> 39 -> 40 -> 82 -> 25 -> 59 -> 99 -> 78 -> 98 -> 96 -> 89 -> 97 -> 41 -> 80 -> 47 -> 14 -> 87 -> 43 -> 74 -> 32 -> 28 -> 44 -> 35 -> 46 -> 55 -> 16 -> 73 -> 18 -> 36 -> 53 -> 100 -> 54 -> 70 -> 76 -> 86 -> 56 -> 48 -> 79 -> 30 -> 63 -> 7 -> 88 -> 20 -> 1 -> 62 -> 84 -> 45 -> 19 -> 50 -> 93 -> 17 -> 91 -> 13 -> 42 -> 22 -> 26 -> 49 -> 34 -> 9 -> 51 -> 29 -> 8 -> 2 -> 94 -> 95 -> 37 -> 3 -> 64 -> 4 -> 83 -> 10 -> 72 -> 69 -> 61 -> 85 -> 24 -> 66 -> 57 -> 6 -> 5 ,516
4,9234,3401.0,7 -> 49 -> 97 -> 90 -> 98 -> 96 -> 34 -> 24 -> 47 -> 80 -> 18 -> 73 -> 78 -> 22 -> 13 -> 42 -> 26 -> 58 -> 9 -> 89 -> 61 -> 85 -> 68 -> 66 -> 51 -> 57 -> 6 -> 60 -> 67 -> 5 -> 99 -> 92 -> 31 -> 21 -> 12 -> 65 -> 72 -> 86 -> 19 -> 45 -> 69 -> 83 -> 40 -> 75 -> 8 -> 29 -> 20 -> 14 -> 63 -> 43 -> 84 -> 74 -> 10 -> 93 -> 50 -> 56 -> 23 -> 25 -> 59 -> 82 -> 2 -> 41 -> 15 -> 27 -> 36 -> 55 -> 11 -> 94 -> 16 -> 46 -> 1 -> 62 -> 30 -> 48 -> 79 -> 44 -> 28 -> 35 -> 70 -> 64 -> 33 -> 39 -> 38 -> 95 -> 37 -> 32 -> 76 -> 4 -> 54 -> 77 -> 100 -> 3 -> 53 -> 81 -> 87 -> 71 -> 52 -> 91 -> 17 -> 88 -> 7 ,501
5,9036,3061.0,10 -> 44 -> 23 -> 73 -> 25 -> 75 -> 33 -> 77 -> 100 -> 70 -> 30 -> 84 -> 14 -> 65 -> 12 -> 85 -> 21 -> 98 -> 58 -> 51 -> 6 -> 67 -> 60 -> 5 -> 59 -> 92 -> 80 -> 2 -> 11 -> 72 -> 1 -> 86 -> 62 -> 81 -> 87 -> 20 -> 49 -> 9 -> 57 -> 99 -> 68 -> 41 -> 4 -> 46 -> 83 -> 13 -> 22 -> 26 -> 66 -> 31 -> 34 -> 78 -> 24 -> 47 -> 8 -> 61 -> 27 -> 15 -> 52 -> 90 -> 96 -> 89 -> 97 -> 29 -> 82 -> 18 -> 40 -> 39 -> 38 -> 3 -> 64 -> 94 -> 16 -> 55 -> 36 -> 95 -> 37 -> 54 -> 53 -> 76 -> 28 -> 35 -> 69 -> 71 -> 43 -> 63 -> 91 -> 42 -> 7 -> 88 -> 17 -> 79 -> 45 -> 48 -> 19 -> 56 -> 93 -> 50 -> 74 -> 32 -> 10 ,498
Rata-rata :,3320.0,Solusi Terbaik :,3061.0,Solusi Terburuk :,3486.0
