data medium2.csv,algoritma genetik
no percobaan,solusi awal,solusi ahir,rute terbaik,waktu
1,1659,857.0,18 -> 13 -> 7 -> 2 -> 12 -> 20 -> 17 -> 9 -> 5 -> 4 -> 6 -> 15 -> 14 -> 11 -> 8 -> 16 -> 19 -> 10 -> 1 -> 3 -> 18 ,152
2,1530,849.0,20 -> 5 -> 6 -> 15 -> 14 -> 4 -> 9 -> 17 -> 11 -> 8 -> 16 -> 19 -> 10 -> 1 -> 3 -> 18 -> 13 -> 7 -> 2 -> 12 -> 20 ,135
3,1487,849.0,6 -> 4 -> 9 -> 17 -> 11 -> 8 -> 16 -> 19 -> 10 -> 1 -> 3 -> 18 -> 13 -> 7 -> 2 -> 12 -> 20 -> 5 -> 15 -> 14 -> 6 ,139
4,1534,909.0,18 -> 2 -> 12 -> 20 -> 9 -> 5 -> 4 -> 6 -> 15 -> 14 -> 11 -> 8 -> 16 -> 19 -> 17 -> 7 -> 13 -> 10 -> 1 -> 3 -> 18 ,123
5,1739,912.0,18 -> 2 -> 12 -> 20 -> 7 -> 13 -> 17 -> 9 -> 5 -> 15 -> 14 -> 6 -> 4 -> 11 -> 8 -> 16 -> 19 -> 10 -> 1 -> 3 -> 18 ,126
Rata-rata :,875.2,Solusi Terbaik :,849.0,Solusi Terburuk :,912.0
